სათაური,ეპიზოდები
The Dangers in My Heart,Ep 9/12
Insomniacs After School,Ep 8/13
"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",Ep 9/13
In Another World With My Smartphone 2,Ep 9/12
Loving Yamada at Lv999,Ep 9/13
Mashle: Magic and Muscles,Ep 7/12
KonoSuba: An Explosion on This Wonderful World!,Ep 9/12
Demon Slayer: Kimetsu no Yaiba – To the Swordsmith Village,Ep 1/1
Nights with a Cat,Ep 11
Buddy Daddies Recap,Ep 1/1
Edens Zero 2nd Season,Ep 9
My Star,Ep 7/11
Attack on Titan: The Final Season Part 3,Ep 1
Legend of Immortals 5th Season,Ep 13
Aggretsuko (ONA) 5th Season,Ep 10/10
Martial God Stream,Ep 48/48
Seven Lucky Gods,Ep 12/12
Delicious Party♡Pretty Cure Movie,Ep Full
Dragon Raja,Ep 1/1
Harem in the Labyrinth of Another World Specials,Ep 2/2
"Goodbye, Don Glees!",Ep Full
Hirogaru Sky! Precure,Ep 17
The Love Story of My Immortal Dad,Ep 126/126
My Senior Brother Is Too Steady,Ep 9/13
The Soul of Soldier Master Part 2,Ep 12/12
New Gods: Yang Jian,Ep Full
Tokyo Revengers: Christmas Showdown (Uncensored),Ep 13/13
My Life as Inukai-san's Dog (Uncensored),Ep 12/12
High Card,Ep 12/12
Onimai: I'm Now Your Sister! (Uncensored),Ep 12/12
Love Flops (Uncensored),Ep 12/12
UniteUp!,Ep 12/12
Legend of Mana -The Teardrop Crystal-,Ep 12/12
Eternal Boys,Ep 24/24
Berserk: The Golden Age Arc - Memorial Edition,Ep 13/13
Detective Conan: The Culprit Hanzawa,Ep 12/12
Pui Pui Molcar: Driving School,Ep 12/12
Reiwa no Di Gi Charat,Ep 16/16
Megaton-kyuu Musashi 2nd Season,Ep 15/15
The Human Crazy University,Ep 12/12
The Daily Life of the Immortal King 3,Ep 12/12
